N,num_variables,num_constraints,api_time_ms,cold_model_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,35.9245,2526.529,5.9325,2,0.01
200,40000,1194,19.5285,2543.5355,26.6435,2,1.66
300,90000,1794,19.401,2700.3035,64.525,2,7.24
400,160000,2394,21.6585,2829.2105,174.64,2,0.89
500,250000,2994,20.3285,2832.269,258.1065,2,2.4
600,360000,3594,20.3185,3012.569,331.4855,2,0.53
700,490000,4194,20.1945,3070.9465,436.085,2,0.73
800,640000,4794,19.5575,3268.938,557.948,2,0.8
900,810000,5394,19.7815,3480.56,704.8825,2,0.51
1000,1000000,5994,20.0125,3542.226,869.4805,2,1.3
