N,num_variables,num_constraints,api_time_ms,cold_model_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,110.0745,485.3865,7.3505,2,0.14
200,40000,1194,101.442,508.031,26.248,2,0.44
300,90000,1794,103.492,613.673,62.0015,2,1.06
400,160000,2394,102.4865,670.846,176.938,2,0.48
500,250000,2994,102.016,731.9285,232.5045,2,1.09
600,360000,3594,105.037,893.401,333.7285,2,0.02
700,490000,4194,103.9345,1086.1935,432.5575,2,0.17
800,640000,4794,103.0475,1204.451,545.415,2,0.15
900,810000,5394,102.2115,1431.0785,701.515,2,1.04
1000,1000000,5994,102.394,1598.799,875.982,2,0.49
