N,num_variables,num_constraints,api_time_ms,cold_model_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,103.9605,235.876,11.6155,2,3.21
200,40000,1194,102.2065,332.421,46.0965,2,0.03
300,90000,1794,101.6045,424.837,113.1605,2,2.7
400,160000,2394,101.8965,538.932,251.486,2,0.08
500,250000,2994,102.0455,646.312,370.19,2,2.21
600,360000,3594,102.191,874.7005,516.3525,2,0.24
700,490000,4194,102.345,1055.06,701.106,2,0.24
800,640000,4794,102.2645,1269.1655,984.5795,2,3.29
900,810000,5394,102.8515,1439.1675,1173.7125,2,0.45
1000,1000000,5994,102.05,1794.3935,1419.88,2,0.6
