N,num_variables,num_constraints,api_time_ms,cold_model_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,121.725,206.444,6.071,3,0.8
200,40000,1194,120.9545,294.9915,27.0425,2,1.89
300,90000,1794,121.2955,337.183,64.194,2,0.46
400,160000,2394,121.5795,442.8865,176.012,2,0.42
500,250000,2994,121.186,505.7085,232.6765,2,0.63
600,360000,3594,121.255,688.843,331.086,2,1.58
700,490000,4194,120.598,876.038,432.789,2,0.01
800,640000,4794,122.622,986.38,546.2885,2,0.09
900,810000,5394,121.5495,1232.6505,697.169,2,0.53
1000,1000000,5994,121.229,1389.091,872.442,2,0.97
