N,num_variables,num_constraints,api_time_ms,cold_model_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,119.9415,235.268,18.878,2,0.64
200,40000,1194,123.035,360.754,78.716,2,0.37
300,90000,1794,121.332,543.29,187.308,2,0.5
400,160000,2394,122.553,706.4945,365.596,2,0.62
500,250000,2994,120.9785,935.0865,607.596,2,9.61
600,360000,3594,122.226,1317.082,963.9185,2,1.23
700,490000,4194,121.6995,1678.504,1313.031,2,0.65
800,640000,4794,122.1305,2079.7135,1757.4485,2,0.08
900,810000,5394,120.177,2578.321,2275.0555,2,0.26
1000,1000000,5994,121.6335,3061.9815,2818.1225,2,0.2
